"Date","RPI Percentage"
"2010 JAN","3.7"
"2010 FEB","3.7"
"2010 MAR","4.4"
"2010 APR","5.3"
"2010 MAY","5.1"
"2010 JUN","5"
"2010 JUL","4.8"
"2010 AUG","4.7"
"2010 SEP","4.6"
"2010 OCT","4.5"
"2010 NOV","4.7"
"2010 DEC","4.8"
"2011 JAN","5.1"
"2011 FEB","5.5"
"2011 MAR","5.3"
"2011 APR","5.2"
"2011 MAY","5.2"
"2011 JUN","5"
"2011 JUL","5"
"2011 AUG","5.2"
"2011 SEP","5.6"
"2011 OCT","5.4"
"2011 NOV","5.2"
"2011 DEC","4.8"
"2012 JAN","3.9"
"2012 FEB","3.7"
"2012 MAR","3.6"
"2012 APR","3.5"
"2012 MAY","3.1"
"2012 JUN","2.8"
"2012 JUL","3.2"
"2012 AUG","2.9"
"2012 SEP","2.6"
"2012 OCT","3.2"
"2012 NOV","3"
"2012 DEC","3.1"
"2013 JAN","3.3"
"2013 FEB","3.2"
"2013 MAR","3.3"
"2013 APR","2.9"
"2013 MAY","3.1"
"2013 JUN","3.3"
"2013 JUL","3.1"
"2013 AUG","3.3"
"2013 SEP","3.2"
"2013 OCT","2.6"
"2013 NOV","2.6"
"2013 DEC","2.7"
"2014 JAN","2.8"
"2014 FEB","2.7"
"2014 MAR","2.5"
"2014 APR","2.5"
"2014 MAY","2.4"
"2014 JUN","2.6"
"2014 JUL","2.5"
"2014 AUG","2.4"
"2014 SEP","2.3"
"2014 OCT","2.3"
"2014 NOV","2"
"2014 DEC","1.6"
"2015 JAN","1.1"
"2015 FEB","1"
"2015 MAR","0.9"
"2015 APR","0.9"
"2015 MAY","1"
"2015 JUN","1"
"2015 JUL","1"
"2015 AUG","1.1"
"2015 SEP","0.8"
"2015 OCT","0.7"
"2015 NOV","1.1"
"2015 DEC","1.2"
"2016 JAN","1.3"
"2016 FEB","1.3"
"2016 MAR","1.6"
"2016 APR","1.3"
"2016 MAY","1.4"
"2016 JUN","1.6"
"2016 JUL","1.9"
"2016 AUG","1.8"
"2016 SEP","2"
"2016 OCT","2"
"2016 NOV","2.2"
"2016 DEC","2.5"
"2017 JAN","2.6"
"2017 FEB","3.2"
"2017 MAR","3.1"
"2017 APR","3.5"
"2017 MAY","3.7"
"2017 JUN","3.5"
"2017 JUL","3.6"
"2017 AUG","3.9"
"2017 SEP","3.9"
"2017 OCT","4"
"2017 NOV","3.9"
"2017 DEC","4.1"
"2018 JAN","4"
"2018 FEB","3.6"
"2018 MAR","3.3"
"2018 APR","3.4"
"2018 MAY","3.3"
"2018 JUN","3.4"
"2018 JUL","3.2"
"2018 AUG","3.5"
"2018 SEP","3.3"
"2018 OCT","3.3"
"2018 NOV","3.2"
"2018 DEC","2.7"
"2019 JAN","2.5"
"2019 FEB","2.5"
"2019 MAR","2.4"
"2019 APR","3"
"2019 MAY","3"
"2019 JUN","2.9"
"2019 JUL","2.8"
"2019 AUG","2.6"
"2019 SEP","2.4"
"2019 OCT","2.1"
"2019 NOV","2.2"
"2019 DEC","2.2"
"2020 JAN","2.7"
"2020 FEB","2.5"
"2020 MAR","2.6"
"2020 APR","1.5"
"2020 MAY","1"
"2020 JUN","1.1"
"2020 JUL","1.6"
"2020 AUG","0.5"
"2020 SEP","1.1"
"2020 OCT","1.3"
"2020 NOV","0.9"
"2020 DEC","1.2"
